Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Behcet Syndrome,20/258,8.456346541720731E-28,3.957570181525302E-25,0,0,38.75968992248062,2416.180828463179,IL10;IL15;VDR;MTHFR;AHR;FUT2;ETS1;TNF;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;IL12A;CCR4;TLR4;HLA-DRB1;IL17A
Hepatitis C, Chronic,22/386,8.683352191855558E-28,3.8790902427980196E-25,0,0,28.497409326424872,1775.7013587499314,IL21;IL10;TGFB1;IL15;STAT1;VDR;MTHFR;PRL;TNF;IL2;DPP4;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;CD14;S100A9;TLR4;HLA-DQA1;HLA-DRB1
Lymphoma,30/1307,9.358120258644803E-28,3.99876547399831E-25,0,0,11.476664116296863,714.2632535644235,IL21;CD80;AHR;HMGB1;PRL;ETS1;HIF1A;TNF;DPP4;IL12A;TNFRSF14;CD14;CCR4;HLA-DQA1;IL10;TGFB1;IL15;STAT1;TNFRSF9;MTHFR;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1
Virus Diseases,27/875,9.585390270408734E-28,3.9252173157323763E-25,0,0,15.428571428571429,959.8444844612454,IL21;CD80;HMGB1;FUT2;TNF;INS;DPP4;CD14;IL6R;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Graft-vs-Host Disease,19/226,5.028870044185625E-27,1.9769493917702527E-24,0,0,42.0353982300885,2545.4368179426283,IL21;IL10;TGFB1;IL15;STAT1;VDR;MTHFR;FUT2;TNF;IL2;IL6;IFNG;IL1B;IL2RA;CD14;S100A9;TLR4;HLA-DRB1;IL17A
Gingival Diseases,16/114,2.3257415265094906E-26,8.791302970205874E-24,0,0,70.17543859649122,4141.977087264706,IL10;STAT1;VDR;CD80;HIF1A;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;CD14;TLR4;HLA-DRB1
Leishmaniasis, Visceral,15/86,3.2286218748334817E-26,1.1752183624393873E-23,0,0,87.20930232558139,5118.763694982201,IL10;TGFB1;IL15;TNF;IL2;DPP4;CXCL10;IL6;IFNG;IL1B;IL2RA;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Malignant neoplasm of stomach,34/2398,7.162584067565817E-26,2.5140670077156017E-23,0,0,7.089241034195163,410.45529907329075,IL21;CD80;AHR;HMGB1;FUT2;ETS1;HIF1A;TNF;INS;DPP4;IL12A;CD14;CCR4;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Eosinophilic disorder,17/161,7.953639451168274E-26,2.695460983657993E-23,0,0,52.79503105590062,3051.2139988282047,IL10;TGFB1;IL15;VDR;CD80;TNFRSF9;AHR;HMGB1;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;TLR4;IL17A
leukemia,32/1941,1.0724006833944514E-25,3.5131846388002226E-23,0,0,8.243173621844411,473.93902161949217,CD80;AHR;HMGB1;PRL;ETS1;HIF1A;TNF;INS;DPP4;ZMIZ1;CD14;CCR4;IL6R;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1
Crohn Disease,26/912,1.2118666319565213E-25,3.842008148022158E-23,0,0,14.254385964912279,817.8092667518449,IL21;HMGB1;FUT2;ETS1;TNF;ZMIZ1;TNFRSF14;CD14;IL6R;IL10;TGFB1;IL15;VDR;TNFRSF9;MTHFR;RUNX3;IL2;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Liver Cirrhosis,24/683,1.5990094144984409E-25,4.9109576642783364E-23,0,0,17.569546120058565,1003.1375051819963,IL10;TGFB1;STAT1;VDR;TNFRSF9;MTHFR;HIF1A;TNF;IL2;INS;SOD1;DPP4;CXCL10;IL6;IFNG;IL1B;IL12A;CD14;S100A9;TLR4;HLA-DQA1;HLA-DRB1;TGM2;IL17A
Pseudohyperkalemia Cardiff,16/131,2.4489536889048986E-25,7.293429349865862E-23,0,0,61.06870229007633,3460.7002416651085,IL21;IL10;TGFB1;IL15;STAT1;VDR;MTHFR;TNF;DPP4;CXCL10;IL6;IFNG;IRF1;TLR4;HLA-DQA1;HLA-DRB1
Tuberculosis,23/602,3.691024328665033E-25,1.0669231500623512E-22,0,0,19.102990033222593,1074.709830662769,IL21;IL10;TGFB1;IL15;STAT1;VDR;CD80;THEMIS;PRL;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;IL12A;CD14;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Colitis,23/608,4.63315891850112E-25,1.3009910243151145E-22,0,0,18.914473684210527,1059.8042217140974,IL21;IL10;TGFB1;IL15;STAT1;VDR;AHR;HMGB1;HIF1A;TNF;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Diabetes,28/1268,5.763732887884178E-25,1.5734990783923806E-22,0,0,11.041009463722398,616.2323248023048,IL21;CD80;HMGB1;PRL;ETS1;HIF1A;TNF;INS;DPP4;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;STAT1;VDR;TNFRSF9;MTHFR;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;TLR4;HLA-DRB1;IL17A
Sarcoidosis,18/236,9.184000133870711E-25,2.439469008531928E-22,0,0,38.13559322033898,2110.696950153715,TGFB1;IL15;STAT1;VDR;CD80;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;CD14;S100A9;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Atherosclerosis,27/1134,9.740277146761476E-25,2.519143257851889E-22,0,0,11.904761904761903,658.1947351560542,AHR;HMGB1;PRL;ETS1;HIF1A;TNF;INS;DPP4;TNFRSF14;CD14;IL6R;IL10;TGFB1;IL15;STAT1;TNFRSF9;MTHFR;IL2;SOD1;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;IL17A
Liver carcinoma,37/3593,1.2401584160986928E-24,3.125199208568706E-22,0,0,5.1489006401335935,283.4305197471232,IL21;CD80;AHR;HMGB1;PRL;FUT2;ETS1;HIF1A;TNF;INS;ZMIZ1;IL12A;TNFRSF14;CD14;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Multiple Myeloma,28/1312,1.4727870792222719E-24,3.618637853649122E-22,0,0,10.670731707317074,585.5551822823971,IL21;CD80;AHR;HMGB1;HIF1A;TNF;DPP4;CD14;IL6R;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Vitiligo,18/243,1.5734960680452315E-24,3.7717852089630575E-22,0,0,37.03703703703703,2029.9534182665543,IL10;TGFB1;VDR;CD80;MTHFR;AHR;TNF;IL2;SOD1;IL6;IFNG;ZMIZ1;IL1B;IL2RA;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Colorectal Carcinoma,35/2931,1.665285678305296E-24,3.896768487234393E-22,0,0,5.970658478335039,326.90576493693794,IL21;CD80;AHR;HMGB1;PRL;FUT2;ETS1;HIF1A;TNF;INS;DPP4;ZMIZ1;IL12A;CD14;IL6R;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Diabetes Mellitus,29/1507,2.1641329204850994E-24,4.946301940122688E-22,0,0,9.62176509621765,524.2901960942602,IL21;CD80;HMGB1;PRL;ETS1;HIF1A;TNF;INS;DPP4;IL6R;HLA-DQA1;TGM2;IL10;TGFB1;STAT1;VDR;TNFRSF9;MTHFR;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;S100A9;TLR4;HLA-DRB1;IL17A
Cerebrovascular accident,24/768,2.6120569779179874E-24,5.834385449767723E-22,0,0,15.625,848.4672532308836,IL21;IL10;TGFB1;STAT1;VDR;MTHFR;AHR;HMGB1;PRL;HIF1A;TNF;INS;SOD1;CXCL10;IL6;IL1B;IRF1;IL12A;CD14;IL6R;TLR4;HLA-DRB1;TGM2;IL17A
Dermatomyositis,15/114,2.989526428281486E-24,6.529125719366765E-22,0,0,65.78947368421052,3563.613634354532,IL10;TGFB1;IL15;STAT1;HMGB1;TNF;IL2;SOD1;IL6;IL1B;IL2RA;TLR4;HLA-DRB1;TGM2;IL17A
Acute Coronary Syndrome,18/255,3.816854885377399E-24,8.154793437715016E-22,0,0,35.29411764705882,1903.1511344751123,IL10;TGFB1;IL15;CD80;TNFRSF9;MTHFR;TNF;IL2;IL6;IL1B;IL2RA;IRF1;CD14;S100A9;TLR4;HLA-DRB1;TGM2;IL17A
Acute lymphocytic leukemia,25/907,3.9563841968151014E-24,8.273051890701876E-22,0,0,13.781697905181918,742.6503818262954,CD80;AHR;HMGB1;HIF1A;TNF;DPP4;CD14;HLA-DQA1;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;CXCL10;IL6;IFNG;IL1B;IRF1;S100A9;TLR4;HLA-DRB1
Sjogren's Syndrome,18/260,5.45092769479689E-24,1.1160774455096632E-21,0,0,34.61538461538461,1854.2165683305739,IL21;IL10;TGFB1;STAT1;HMGB1;PRL;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;IL12A;CD14;HLA-DRB1;IL17A
Glioma,32/2211,6.362380171234223E-24,1.2761116800589787E-21,0,0,7.236544549977386,386.51571005883727,IL21;CD80;AHR;HMGB1;PRL;ETS1;HIF1A;TNF;DPP4;IL12A;CCR4;IL6R;TGM2;IL10;TGFB1;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Hodgkin Disease,22/592,1.0953273305437744E-23,2.152975400916843E-21,0,0,18.58108108108108,982.3520992751461,IL21;IL10;TGFB1;STAT1;VDR;CD80;TNFRSF9;MTHFR;HMGB1;ETS1;HIF1A;TNF;IL2;DPP4;CXCL10;IL6;IFNG;IL1B;IL2RA;CCR4;IL6R;IL17A
Encephalitis, St. Louis,15/124,1.1308779135929532E-23,2.1792682617238322E-21,0,0,60.483870967741936,3195.7538040179497,IL10;STAT1;HMGB1;PRL;ETS1;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;CD14;HLA-DRB1;IL17A
VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),16/166,1.2808045262250264E-23,2.4207205545653E-21,0,0,48.19277108433735,2540.3358420368345,IL10;TGFB1;VDR;MTHFR;AHR;TNF;IL2;SOD1;IL6;IFNG;ZMIZ1;IL1B;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Acute GVH disease,16/166,1.2808045262250264E-23,2.375046581837653E-21,0,0,48.19277108433735,2540.3358420368345,IL10;TGFB1;VDR;MTHFR;HMGB1;FUT2;TNF;IL2;IL6;IFNG;IL1B;IL2RA;CD14;TLR4;HLA-DRB1;IL17A
Pneumonitis,19/339,1.29588005963066E-23,2.358501708527801E-21,0,0,28.023598820058996,1476.851142690475,IL10;TGFB1;IL15;VDR;MTHFR;AHR;HMGB1;HIF1A;TNF;CXCL10;IL6;IFNG;IL1B;IL2RA;CD14;S100A9;TLR4;HLA-DRB1;IL17A
Complete atrioventricular block,16/170,1.9003888156818668E-23,3.3958220510038884E-21,0,0,47.05882352941176,2461.9952298255985,IL21;IL10;TGFB1;STAT1;VDR;TNF;IL2;CXCL10;IL6;IFNG;IL2RA;CD14;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Hepatitis, Autoimmune,15/129,2.1078322818282796E-23,3.6992456546086305E-21,0,0,58.13953488372093,3035.6858763982136,IL10;TGFB1;VDR;TNF;IL2;INS;CXCL10;IL6;IFNG;IL1B;IL2RA;TNFRSF14;HLA-DQA1;HLA-DRB1;IL17A
Hepatitis B,24/839,2.1256949157505338E-23,3.6651455494730256E-21,0,0,14.302741358760429,746.6797383185086,IL21;IL10;TGFB1;STAT1;VDR;CD80;TNFRSF9;MTHFR;HMGB1;HIF1A;TNF;IL2;INS;CXCL10;IL6;IFNG;IL1B;IL2RA;IL12A;CD14;IL6R;TLR4;HLA-DRB1;IL17A
Ankylosing spondylitis,19/348,2.14142184094268E-23,3.628602388411148E-21,0,0,27.298850574712645,1424.9450506568296,IL10;TGFB1;VDR;FUT2;ETS1;TNF;RUNX3;IL2;IL6;IFNG;ZMIZ1;IL1B;IL2RA;TNFRSF14;CD14;IL6R;TLR4;HLA-DRB1;IL17A
Encephalomyelitis,19/348,2.14142184094268E-23,3.567100653014349E-21,0,0,27.298850574712645,1424.9450506568296,IL10;TGFB1;IL15;STAT1;VDR;CD80;TNFRSF9;AHR;TNF;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;TLR4;HLA-DRB1;IL17A
Chronic Lymphocytic Leukemia,26/1120,2.3368328782483863E-23,3.8277322545708565E-21,0,0,11.607142857142858,604.8558819305835,IL21;CD80;ETS1;HIF1A;TNF;DPP4;TNFRSF14;CD14;IL6R;HLA-DQA1;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;TLR4;HLA-DRB1;IL17A
Uveitis,15/130,2.3799732852309818E-23,3.834488106106572E-21,0,0,57.69230769230769,3005.3289159193578,IL10;IL15;STAT1;ETS1;TNF;IL2;CXCL10;IL6;IFNG;IL1B;CD14;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Autoimmune thyroid disease,15/132,3.0252017859615926E-23,4.795432766521053E-21,0,0,56.81818181818181,2946.163599062613,IL21;IL10;IL15;VDR;FUT2;TNF;INS;CXCL10;IL6;IFNG;ZMIZ1;IL2RA;HLA-DQA1;HLA-DRB1;IL17A
Myasthenia Gravis,16/179,4.459314340559598E-23,6.956530371272973E-21,0,0,44.6927374301676,2300.0876925117363,IL10;TGFB1;HMGB1;TNF;IL2;INS;CXCL10;IL6;IFNG;IL1B;IL2RA;CCR4;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Stomach Carcinoma,32/2378,6.178475497161965E-23,9.487821435329343E-21,0,0,6.72834314550042,344.0766060967664,IL21;CD80;AHR;HMGB1;FUT2;ETS1;HIF1A;TNF;INS;DPP4;IL12A;CD14;CCR4;HLA-DQA1;TGM2;IL10;TGFB1;STAT1;VDR;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Hepatitis, Chronic,16/183,6.421230466621308E-23,9.708900465531418E-21,0,0,43.71584699453552,2233.873109423318,IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;TNF;RUNX3;SOD1;CXCL10;IL6;IFNG;IL1B;S100A9;HLA-DRB1;IL17A
Periodontitis,17/237,6.983570929174855E-23,1.039917198362583E-20,0,0,35.86497890295359,1829.6840609578182,IL10;TGFB1;VDR;AHR;HMGB1;TNF;IL2;IL6;IFNG;IL1B;IL2RA;IL12A;CD14;IL6R;TLR4;HLA-DRB1;IL17A
Eosinophilia,16/186,8.394545570408232E-23,1.2313670726264495E-20,0,0,43.01075268817205,2186.317203474427,IL10;TGFB1;IL15;VDR;CD80;AHR;HMGB1;TNF;IL2;CXCL10;IL6;IFNG;IL1B;IL2RA;TLR4;IL17A
Hashimoto Disease,16/186,8.394545570408232E-23,1.2132587333231193E-20,0,0,43.01075268817205,2186.317203474427,IL21;IL10;TGFB1;IL15;VDR;HIF1A;TNF;INS;CXCL10;IL6;IFNG;IL1B;IL2RA;IL6R;HLA-DRB1;IL17A
Allergic disposition,17/240,8.685346741122638E-23,1.2370954749529463E-20,0,0,35.416666666666664,1799.0894518106725,IL10;VDR;CD80;TNFRSF9;MTHFR;TNF;IL2;IL6;IFNG;IL2RA;IRF1;CD14;CCR4;TLR4;HLA-DQA1;HLA-DRB1;IL17A
Spondylarthritis,13/74,8.890065862477577E-23,1.2481652470918518E-20,0,0,87.83783783783784,4459.924289526394,IL10;STAT1;VDR;TNF;RUNX3;IL2;IL6;IFNG;IL1B;IRF1;IL6R;HLA-DRB1;IL17A
Colorectal Cancer,35/3298,9.52904090196791E-23,1.3190339997822622E-20,0,0,5.306246209824136,269.05381402590393,IL21;CD80;AHR;HMGB1;PRL;FUT2;ETS1;HIF1A;TNF;INS;DPP4;ZMIZ1;IL12A;CD14;IL6R;TGM2;IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;RUNX3;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IRF1;S100A9;TLR4;HLA-DRB1;IL17A
Lupus Erythematosus, Discoid,18/309,1.2766705979248346E-22,1.7426553661673993E-20,0,0,29.12621359223301,1468.328634525286,IL21;IL10;IL15;STAT1;CD80;MTHFR;HMGB1;PRL;ETS1;TNF;IL2;IL6;IFNG;IL1B;CD14;TLR4;HLA-DRB1;IL17A
Diabetic Nephropathy,21/561,1.4079118548463248E-22,1.8954736588259836E-20,0,0,18.71657754010695,941.7201891772576,IL10;TGFB1;IL15;STAT1;VDR;MTHFR;HMGB1;ETS1;HIF1A;TNF;INS;SOD1;DPP4;CXCL10;IL6;IL1B;IL6R;S100A9;TLR4;HLA-DRB1;IL17A
Hepatitis C,23/783,1.479209929254832E-22,1.964550700637363E-20,0,0,14.687100893997446,738.252471545962,IL10;TGFB1;IL15;STAT1;VDR;TNFRSF9;MTHFR;TNF;IL2;SOD1;DPP4;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;CD14;TLR4;HLA-DQA1;HLA-DRB1;TGM2;IL17A
Malaria,20/469,1.5118624215988513E-22,1.9811445172631347E-20,0,0,21.321961620469082,1071.2906132890755,IL10;TGFB1;IL15;VDR;MTHFR;AHR;TNF;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL2RA;IRF1;IL12A;CD14;TLR4;HLA-DRB1;IL17A
Chronic Obstructive Airway Disease,22/669,1.5783101682178672E-22,2.0410042543743685E-20,0,0,16.442451420029897,825.4195667182319,IL21;IL10;TGFB1;STAT1;VDR;CD80;AHR;HMGB1;HIF1A;TNF;IL2;SOD1;CXCL10;IL6;IFNG;IL1B;IL12A;CD14;IL6R;S100A9;TLR4;IL17A
Immune System Diseases,17/250,1.7608787254387044E-22,2.24752157319631E-20,0,0,34.0,1703.0960089103387,IL10;STAT1;VDR;ETS1;TNF;IL2;SOD1;DPP4;IL6;IFNG;ZMIZ1;IL1B;IL2RA;TLR4;HLA-DQA1;HLA-DRB1;IL17A
